PROJECT,DOMAIN,HOME,PRICING,STATUS
cr-realtor-platform,realtor.craudiovizai.com,200,200,PASS
crav-property-hub,crav-property-hub.vercel.app,503,404,FAIL
javari-cards,javari-cards.vercel.app,200,200,PASS
javari-card-vault,javari-card-vault.vercel.app,200,404,PRICING_MISSING
javari-coin-cache,javari-coin-cache.vercel.app,503,503,FAIL
javari-vinyl-vault,javari-vinyl-vault.vercel.app,503,404,FAIL
javari-watch-works,javari-watch-works.vercel.app,200,503,PRICING_MISSING
javari-comic-crypt,javari-comic-crypt.vercel.app,200,404,PRICING_MISSING
crav-travel,crav-travel.vercel.app,503,404,FAIL
javari-orlando,javari-orlando.vercel.app,200,404,PRICING_MISSING
javari-invoice,javari-invoice.vercel.app,200,404,PRICING_MISSING
javari-business-formation,javari-business-formation.vercel.app,200,404,PRICING_MISSING
javari-legal,javari-legal.vercel.app,200,404,PRICING_MISSING
javari-insurance,javari-insurance.vercel.app,200,404,PRICING_MISSING
javari-resume-builder,javari-resume-builder.vercel.app,200,404,PRICING_MISSING
javari-cover-letter,javari-cover-letter.vercel.app,200,404,PRICING_MISSING
javari-email-templates,javari-email-templates.vercel.app,200,404,PRICING_MISSING
javari-presentation-maker,javari-presentation-maker.vercel.app,200,404,PRICING_MISSING
crochet-platform,crochet-platform.vercel.app,200,404,PRICING_MISSING
javari-fitness,javari-fitness.vercel.app,200,404,PRICING_MISSING
javari-ebook,javari-ebook.vercel.app,200,404,PRICING_MISSING
javari-health,javari-health.vercel.app,200,404,PRICING_MISSING
javari-entertainment,javari-entertainment.vercel.app,200,404,PRICING_MISSING
javari-ai,javari-ai.vercel.app,200,200,PASS
javariverse-hub,javariverse-hub.vercel.app,200,200,PASS
javari-autonomous-system,autonomous.craudiovizai.com,200,404,PASS_NO_PRICING
